2022-04-20 10:54:38,925 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:54:38,925 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:54:38,925 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:54:38,925 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:56:42,454 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:56:42,454 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:56:42,454 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 10:56:42,454 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:04:38,699 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:04:38,699 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:04:38,699 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:04:38,699 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:07:03,579 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 573.371571764, Level: 525.8092246179999, Level: 487.36842349999995, Level: 448.927622382, Level: 394.19834621399997, Level: 324.483673]
2022-04-20 11:07:03,579 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 573.371571764, Level: 525.8092246179999, Level: 487.36842349999995, Level: 448.927622382, Level: 394.19834621399997, Level: 324.483673]
2022-04-20 11:07:03,579 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 573.371571764, Level: 525.8092246179999, Level: 487.36842349999995, Level: 448.927622382, Level: 394.19834621399997, Level: 324.483673]
2022-04-20 11:07:03,579 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 573.371571764, Level: 525.8092246179999, Level: 487.36842349999995, Level: 448.927622382, Level: 394.19834621399997, Level: 324.483673]
2022-04-20 11:08:32,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:08:32,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:08:32,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 11:08:32,958 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:02:53,162 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:02:53,162 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:02:53,162 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:02:53,162 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:12:50,057 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:12:50,057 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:12:50,057 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:12:50,057 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,149 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,149 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,149 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,149 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,209 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,209 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,209 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:13:51,209 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:14:53,203 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:14:53,203 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:14:53,203 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:14:53,203 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:35,748 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:35,748 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:35,748 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:35,748 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:46,220 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:46,220 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:46,220 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:16:46,220 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:17:05,443 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:17:05,443 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:17:05,443 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 12:17:05,443 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
2022-04-20 14:01:44,933 - Bot.App.Startegie.Agents.Agent - initiate_fibonacci_strategy - INFO - [Level: 650.253174, Level: 613.6446390039999, Level: 590.996985998, Level: 572.6927185, Level: 554.388451002, Level: 528.328137954, Level: 495.132263]
