2022-04-12 11:10:34,667 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:11:25,362 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:11:28,120 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:14:01,258 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:14:02,953 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:14:28,700 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:14:31,169 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:14:46,054 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:14:47,659 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:15:33,543 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:15:35,134 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
2022-04-12 11:22:21,196 - Startegie.Agent - initiate_fibonacci_strategy - INFO - [Level: 39966.40625, Level: 37367.330414092, Level: 35759.427566454004, Level: 34459.8896485, Level: 33160.351730546, Level: 31310.162152442, Level: 28953.373047]
